"H (A_per_meter)" 	"B (tesla)"
80600.00	0.95
80700.00	0.95
80800.00	0.95
80900.00	0.95
81000.00	0.95
81100.00	0.95
81200.00	0.95
81300.00	0.95
81400.00	0.95
81500.00	0.95
81600.00	0.95
81700.00	0.95
81800.00	0.95
81900.00	0.95
82000.00	0.95
82100.00	0.95
82200.00	0.95
82300.00	0.95
82400.00	0.95
82500.00	0.95
82600.00	0.95
82700.00	0.95
82800.00	0.95
82900.00	0.95
83000.00	0.95
83100.00	0.95
83200.00	0.95
83300.00	0.95
83400.00	0.95
83500.00	0.95
83600.00	0.95
83700.00	0.95
83800.00	0.95
83900.00	0.95
84000.00	0.95
84100.00	0.95
84200.00	0.95
84300.00	0.95
84400.00	0.95
84500.00	0.95
84600.00	0.95
84700.00	0.95
84800.00	0.95
84900.00	0.95
85000.00	0.95
85100.00	0.95
85200.00	0.95
85300.00	0.95
85400.00	0.95
85500.00	0.95
85600.00	0.95
85700.00	0.95
85800.00	0.95
85900.00	0.95
86000.00	0.95
86100.00	0.95
86200.00	0.95
86300.00	0.95
86400.00	0.95
86500.00	0.95
86600.00	0.95
86700.00	0.95
86800.00	0.95
86900.00	0.95
87000.00	0.95
87100.00	0.95
87200.00	0.95
87300.00	0.95
87400.00	0.95
87500.00	0.95
87600.00	0.95
87700.00	0.95
87800.00	0.95
87900.00	0.95
88000.00	0.95
88100.00	0.95
88200.00	0.95
88300.00	0.95
88400.00	0.95
88500.00	0.95
88600.00	0.95
88700.00	0.95
88800.00	0.95
88900.00	0.95
89000.00	0.95
89100.00	0.95
89200.00	0.95
89300.00	0.95
89400.00	0.95
89500.00	0.95
89600.00	0.95
89700.00	0.95
89800.00	0.95
89900.00	0.95
90000.00	0.95
90100.00	0.95
90200.00	0.95
90300.00	0.95
90400.00	0.95
90500.00	0.95
90600.00	0.95
90700.00	0.95
90800.00	0.95
90900.00	0.95
91000.00	0.95
91100.00	0.95
91200.00	0.95
91300.00	0.95
91400.00	0.95
91500.00	0.96
91600.00	0.96
91700.00	0.96
91800.00	0.96
91900.00	0.96
92000.00	0.96
92100.00	0.96
92200.00	0.96
92300.00	0.96
92400.00	0.96
92500.00	0.96
92600.00	0.96
92700.00	0.96
92800.00	0.96
92900.00	0.96
93000.00	0.96
93100.00	0.96
93200.00	0.96
93300.00	0.96
93400.00	0.96
93500.00	0.96
93600.00	0.96
93700.00	0.96
93800.00	0.96
93900.00	0.96
94000.00	0.96
94100.00	0.96
94200.00	0.96
94300.00	0.96
94400.00	0.96
94500.00	0.96
94600.00	0.96
94700.00	0.96
94800.00	0.96
94900.00	0.96
95000.00	0.96
95100.00	0.96
95200.00	0.96
95300.00	0.96
95400.00	0.96
95500.00	0.96
95600.00	0.96
95700.00	0.96
95800.00	0.96
95900.00	0.96
96000.00	0.96
96100.00	0.96
96200.00	0.96
96300.00	0.96
96400.00	0.96
96500.00	0.96
